epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,90.7181,0.55444,2.38699,0.91722,0.99201,0.90116,0.9575,0.71675,0.63139,3.14116,1.01048,0.00281046,0.00281046,0.00281046
83,91.7931,0.60553,2.60654,0.95551,0.9458,0.89713,0.94932,0.70887,0.64847,3.05979,1.01175,0.00280586,0.00280586,0.00280586
84,92.9471,0.59403,2.74158,0.95055,0.93728,0.93264,0.95258,0.72273,0.67007,3.23447,1.02419,0.0028012,0.0028012,0.0028012
85,94.0341,0.61279,2.80811,0.95361,0.94172,0.916,0.95007,0.69707,0.67408,3.11537,1.0121,0.0027965,0.0027965,0.0027965
86,95.0921,0.5791,2.63244,0.93917,0.94172,0.916,0.95007,0.69707,0.67408,3.11537,1.0121,0.00279174,0.00279174,0.00279174
87,96.1641,0.54592,2.50913,0.94547,0.91956,0.87031,0.94668,0.70898,0.66788,3.34924,1.02217,0.00278693,0.00278693,0.00278693
88,97.2555,0.58082,2.63929,0.96108,0.94865,0.93079,0.95134,0.70559,0.66995,3.06683,1.02887,0.00278207,0.00278207,0.00278207
89,98.3445,0.64573,2.78132,1.15787,0.94653,0.93769,0.95769,0.71933,0.67529,2.97409,1.03444,0.00277716,0.00277716,0.00277716
90,99.4245,0.58135,2.47866,0.94983,0.94804,0.92708,0.95213,0.72271,0.65914,2.94355,1.03375,0.0027722,0.0027722,0.0027722
91,100.516,0.58717,2.6606,0.94267,0.96926,0.94197,0.96303,0.75003,0.61652,2.93237,0.99834,0.00276719,0.00276719,0.00276719
92,101.615,0.54242,2.46999,0.90948,0.93701,0.93546,0.95716,0.73315,0.62231,3.05564,1.0064,0.00276213,0.00276213,0.00276213
93,102.767,0.57815,2.73372,0.94108,0.98757,0.85976,0.94683,0.72293,0.62531,3.14629,1.0137,0.00275702,0.00275702,0.00275702
94,103.832,0.5836,2.84201,0.97341,0.98757,0.85976,0.94683,0.72293,0.62531,3.14629,1.0137,0.00275186,0.00275186,0.00275186
95,104.907,0.56942,2.65284,0.96003,0.99857,0.9002,0.9545,0.72572,0.6248,3.07517,1.00937,0.00274666,0.00274666,0.00274666
96,105.979,0.6039,2.72147,0.96061,1,0.8915,0.95192,0.7326,0.6583,3.22271,1.04001,0.0027414,0.0027414,0.0027414
97,107.063,0.58015,2.64832,0.98256,0.98949,0.88655,0.95133,0.70025,0.6555,3.18773,1.04161,0.00273609,0.00273609,0.00273609
98,108.153,0.5654,2.50952,0.95382,0.93122,0.90909,0.94315,0.6975,0.65421,3.02213,1.0348,0.00273074,0.00273074,0.00273074
99,109.236,0.54847,2.47387,0.92172,0.91502,0.90909,0.94723,0.6959,0.68848,3.30718,1.06342,0.00272534,0.00272534,0.00272534
100,110.316,0.6345,2.8013,0.98691,0.94562,0.90909,0.9466,0.69578,0.707,3.35078,1.07711,0.00271988,0.00271988,0.00271988
101,111.411,0.54427,2.46647,0.92356,0.9466,0.92508,0.95889,0.69535,0.71159,3.31647,1.06652,0.00271438,0.00271438,0.00271438
102,112.561,0.5452,2.38039,0.94816,0.9466,0.92508,0.95889,0.69535,0.71159,3.31647,1.06652,0.00270884,0.00270884,0.00270884
103,113.646,0.58824,2.58368,0.96203,0.95348,0.92434,0.95889,0.69054,0.69795,3.16253,1.05396,0.00270324,0.00270324,0.00270324
104,114.726,0.55669,2.57965,0.94204,0.94507,0.92757,0.96086,0.69493,0.70494,3.24517,1.0499,0.0026976,0.0026976,0.0026976
105,115.802,0.50335,2.4107,0.92095,0.91727,0.90158,0.95575,0.69932,0.71296,3.26692,1.04524,0.00269191,0.00269191,0.00269191
106,116.876,0.55753,2.4981,0.93372,0.89622,0.9116,0.94691,0.71244,0.70687,3.28037,1.02714,0.00268618,0.00268618,0.00268618
107,117.952,0.54694,2.51452,0.94197,0.91423,0.90909,0.94797,0.71355,0.69356,3.34211,1.03603,0.00268039,0.00268039,0.00268039
108,119.04,0.52427,2.77801,0.89727,0.89909,0.90909,0.9547,0.68784,0.67417,3.53776,1.02232,0.00267457,0.00267457,0.00267457
109,120.113,0.54061,2.62097,0.93885,0.89836,0.90909,0.94521,0.71636,0.6749,3.43194,1.01523,0.00266869,0.00266869,0.00266869
110,121.165,0.58158,2.57588,0.94037,0.89836,0.90909,0.94521,0.71636,0.6749,3.43194,1.01523,0.00266277,0.00266277,0.00266277
111,122.313,0.55305,2.64387,0.90813,0.90254,0.91617,0.94691,0.70334,0.67876,3.52303,1.00099,0.0026568,0.0026568,0.0026568
